d,a,e
5.089999999999998082e+00,6.000000000000000000e+01,-4.371688467032039682e+01
5.089999999999998082e+00,6.500000000000000000e+01,-4.371688474365557653e+01
5.089999999999998082e+00,7.000000000000000000e+01,-4.371688486451581213e+01
5.089999999999998082e+00,7.500000000000000000e+01,-4.371688508639627457e+01
5.089999999999998082e+00,8.000000000000000000e+01,-4.371688549601223883e+01
5.089999999999998082e+00,8.500000000000000000e+01,-4.371688620185724972e+01
5.089999999999998082e+00,9.000000000000000000e+01,-4.371688727882293790e+01
5.089999999999998082e+00,9.500000000000000000e+01,-4.371688863745730913e+01
5.089999999999998082e+00,1.000000000000000000e+02,-4.371688979149220700e+01
5.089999999999998082e+00,1.050000000000000000e+02,-4.371688947248411239e+01
5.089999999999998082e+00,1.100000000000000000e+02,-4.371688482247948571e+01
5.089999999999998082e+00,1.150000000000000000e+02,-4.371686921074624621e+01
5.089999999999998082e+00,1.200000000000000000e+02,-4.371682638775725849e+01
5.089999999999998082e+00,1.250000000000000000e+02,-4.371671680193232845e+01
5.099999999999997868e+00,0.000000000000000000e+00,-4.371688822271016761e+01
5.099999999999997868e+00,5.000000000000000000e+00,-4.371688822241479500e+01
5.099999999999997868e+00,1.000000000000000000e+01,-4.371688822179243061e+01
5.099999999999997868e+00,1.500000000000000000e+01,-4.371688822160423626e+01
5.099999999999997868e+00,2.000000000000000000e+01,-4.371688822303143240e+01
5.099999999999997868e+00,2.500000000000000000e+01,-4.371688822754721571e+01
5.099999999999997868e+00,3.000000000000000000e+01,-4.371688823671271962e+01
5.099999999999997868e+00,3.500000000000000000e+01,-4.371688825189825423e+01
5.099999999999997868e+00,4.000000000000000000e+01,-4.371688827398100585e+01
5.099999999999997868e+00,4.500000000000000000e+01,-4.371688830314032259e+01
5.099999999999997868e+00,5.000000000000000000e+01,-4.371688833895273518e+01
5.099999999999997868e+00,5.500000000000000000e+01,-4.371688838130862820e+01
5.099999999999997868e+00,6.000000000000000000e+01,-4.371688843285264880e+01
5.099999999999997868e+00,6.500000000000000000e+01,-4.371688850390707159e+01
5.099999999999997868e+00,7.000000000000000000e+01,-4.371688862060231173e+01
5.099999999999997868e+00,7.500000000000000000e+01,-4.371688883526623925e+01
5.099999999999997868e+00,8.000000000000000000e+01,-4.371688923360746060e+01
5.099999999999997868e+00,8.500000000000000000e+01,-4.371688992435029064e+01
5.099999999999997868e+00,9.000000000000000000e+01,-4.371689098557408926e+01
5.099999999999997868e+00,9.500000000000000000e+01,-4.371689233572101330e+01
5.099999999999997868e+00,1.000000000000000000e+02,-4.371689350236599836e+01
5.099999999999997868e+00,1.050000000000000000e+02,-4.371689323998477761e+01
5.099999999999997868e+00,1.100000000000000000e+02,-4.371688873847159584e+01
5.099999999999997868e+00,1.150000000000000000e+02,-4.371687348750374014e+01
5.099999999999997868e+00,1.200000000000000000e+02,-4.371683152643086601e+01
5.099999999999997868e+00,1.250000000000000000e+02,-4.371672389668143666e+01
5.109999999999997655e+00,0.000000000000000000e+00,-4.371689190590453933e+01
5.109999999999997655e+00,5.000000000000000000e+00,-4.371689190559693827e+01
5.109999999999997655e+00,1.000000000000000000e+01,-4.371689190492818966e+01
5.109999999999997655e+00,1.500000000000000000e+01,-4.371689190465401964e+01
5.109999999999997655e+00,2.000000000000000000e+01,-4.371689190594779006e+01
5.109999999999997655e+00,2.500000000000000000e+01,-4.371689191027288501e+01
5.109999999999997655e+00,3.000000000000000000e+01,-4.371689191917982953e+01
